level,list_-5.0,list_-4.5,list_-4.0,list_-3.5,list_-3.0,list_-2.5,list_-2.0,list_-1.5,list_-1.0,list_-0.5,list_0.0,list_0.5,list_1.0,list_1.5,list_2.0,list_2.5,list_3.0,list_3.5,list_4.0,list_4.5,list_5.0
38,4.04,2.98,2,1.4,1,0.68,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.68,1,1.3,2,2.98,4.04
39,3.87,2.84,1.9,1.35,1,0.69,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.69,1,1.3,1.9,2.84,3.87
40,3.7,2.7,1.8,1.3,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.3,1.8,2.7,3.7
41,3.62,2.65,1.79,1.3,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.3,1.79,2.65,3.62
42,3.54,2.6,1.78,1.3,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.3,1.78,2.6,3.54
43,3.46,2.55,1.77,1.3,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.3,1.77,2.55,3.46
44,3.38,2.5,1.76,1.3,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.3,1.76,2.5,3.38
45,3.3,2.45,1.75,1.3,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.3,1.75,2.45,3.3
46,3.22,2.4,1.74,1.3,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.3,1.74,2.4,3.22
47,3.14,2.35,1.73,1.3,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.3,1.73,2.35,3.14
48,3.06,2.3,1.72,1.3,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.3,1.72,2.3,3.06
49,2.98,2.25,1.71,1.3,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.3,1.71,2.25,2.98
50,2.9,2.2,1.7,1.3,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.3,1.7,2.2,2.9
51,2.88,2.2,1.7,1.3,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.3,1.7,2.2,2.88
52,2.86,2.2,1.7,1.3,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.3,1.7,2.2,2.86
53,2.84,2.2,1.7,1.3,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.3,1.7,2.2,2.84
54,2.82,2.2,1.7,1.3,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.3,1.7,2.2,2.82
55,2.8,2.2,1.7,1.3,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.3,1.7,2.2,2.8
56,2.78,2.2,1.7,1.3,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.3,1.7,2.2,2.78
57,2.76,2.2,1.7,1.3,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.3,1.7,2.2,2.76
